CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_uni_bi_small.py
MEM 0.257812 1783363410.1840
MEM 30.222656 1783363410.2850
MEM 48.074219 1783363410.3870
MEM 67.433594 1783363410.4872
MEM 83.574219 1783363410.5874
MEM 92.601562 1783363410.6877
MEM 98.992188 1783363410.7880
MEM 103.437500 1783363410.8882
MEM 104.320312 1783363410.9885
MEM 107.105469 1783363411.0888
MEM 107.152344 1783363411.1890
MEM 107.226562 1783363411.2892
MEM 107.363281 1783363411.3894
MEM 107.542969 1783363411.4896
MEM 109.031250 1783363411.5899
MEM 110.062500 1783363411.6901
MEM 110.062500 1783363411.7904
MEM 110.066406 1783363411.8906
MEM 110.066406 1783363411.9909
MEM 110.066406 1783363412.0911
MEM 110.066406 1783363412.1913
MEM 110.066406 1783363412.2915
MEM 110.070312 1783363412.3918
MEM 110.070312 1783363412.4920
MEM 110.070312 1783363412.5922
MEM 110.070312 1783363412.6924
MEM 110.074219 1783363412.7926
MEM 110.078125 1783363412.8929
MEM 110.078125 1783363412.9931
MEM 110.078125 1783363413.0933
MEM 110.085938 1783363413.1935
MEM 110.085938 1783363413.2937
MEM 110.085938 1783363413.3940
MEM 110.085938 1783363413.4942
MEM 110.089844 1783363413.5944
MEM 110.093750 1783363413.6946
MEM 110.093750 1783363413.7949
MEM 110.097656 1783363413.8952
MEM 110.101562 1783363413.9954
MEM 110.105469 1783363414.0956
MEM 110.109375 1783363414.1959
MEM 110.117188 1783363414.2961
MEM 110.117188 1783363414.3963
MEM 110.117188 1783363414.4965
MEM 110.117188 1783363414.5968
MEM 110.121094 1783363414.6970
MEM 110.128906 1783363414.7972
MEM 110.132812 1783363414.8975
MEM 110.136719 1783363414.9977
MEM 110.140625 1783363415.0980
MEM 110.144531 1783363415.1982
MEM 110.148438 1783363415.2984
MEM 110.152344 1783363415.3986
MEM 110.156250 1783363415.4989
MEM 110.156250 1783363415.5991
MEM 110.160156 1783363415.6993
MEM 110.164062 1783363415.7996
MEM 110.164062 1783363415.8998
MEM 110.167969 1783363416.0000
MEM 110.171875 1783363416.1003
MEM 110.175781 1783363416.2005
MEM 110.179688 1783363416.3007
MEM 110.179688 1783363416.4009
MEM 110.179688 1783363416.5011
MEM 110.183594 1783363416.6014
MEM 110.187500 1783363416.7016
MEM 110.195312 1783363416.8019
MEM 110.199219 1783363416.9021
MEM 110.199219 1783363417.0023
MEM 110.203125 1783363417.1025
MEM 110.207031 1783363417.2027
MEM 110.210938 1783363417.3030
MEM 110.210938 1783363417.4032
MEM 110.210938 1783363417.5034
MEM 110.214844 1783363417.6036
MEM 110.218750 1783363417.7040
MEM 110.218750 1783363417.8042
MEM 110.218750 1783363417.9044
MEM 110.218750 1783363418.0046
MEM 110.218750 1783363418.1049
MEM 110.218750 1783363418.2051
MEM 110.218750 1783363418.3053
MEM 110.218750 1783363418.4055
MEM 110.218750 1783363418.5057
MEM 110.218750 1783363418.6059
MEM 110.218750 1783363418.7061
MEM 110.218750 1783363418.8063
MEM 110.218750 1783363418.9065
MEM 110.218750 1783363419.0067
MEM 110.218750 1783363419.1070
MEM 110.218750 1783363419.2071
MEM 110.218750 1783363419.3074
MEM 110.218750 1783363419.4076
MEM 110.218750 1783363419.5079
MEM 110.218750 1783363419.6081
MEM 110.218750 1783363419.7083
MEM 110.218750 1783363419.8085
MEM 110.218750 1783363419.9088
MEM 110.218750 1783363420.0090
MEM 110.218750 1783363420.1092
MEM 110.222656 1783363420.2094
MEM 110.222656 1783363420.3096
MEM 110.222656 1783363420.4099
MEM 110.222656 1783363420.5101
MEM 110.222656 1783363420.6104
MEM 110.222656 1783363420.7106
MEM 110.222656 1783363420.8109
MEM 110.222656 1783363420.9111
MEM 110.226562 1783363421.0113
MEM 110.230469 1783363421.1115
MEM 110.234375 1783363421.2117
MEM 110.234375 1783363421.3120
MEM 110.234375 1783363421.4122
MEM 110.234375 1783363421.5124
MEM 110.234375 1783363421.6126
MEM 110.234375 1783363421.7129
MEM 110.234375 1783363421.8131
MEM 110.234375 1783363421.9133
MEM 110.234375 1783363422.0136
