CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_uni_bi_small.py
MEM 0.261719 1783438671.4252
MEM 27.769531 1783438671.5255
MEM 48.246094 1783438671.6263
MEM 67.203125 1783438671.7265
MEM 81.511719 1783438671.8268
MEM 92.695312 1783438671.9271
MEM 98.886719 1783438672.0274
MEM 103.632812 1783438672.1277
MEM 104.328125 1783438672.2281
MEM 107.300781 1783438672.3284
MEM 107.328125 1783438672.4288
MEM 107.386719 1783438672.5291
MEM 107.535156 1783438672.6295
MEM 107.937500 1783438672.7298
MEM 109.867188 1783438672.8302
MEM 110.058594 1783438672.9305
MEM 110.062500 1783438673.0308
MEM 110.062500 1783438673.1312
MEM 110.066406 1783438673.2315
MEM 110.066406 1783438673.3319
MEM 110.066406 1783438673.4323
MEM 110.066406 1783438673.5326
MEM 110.066406 1783438673.6330
MEM 110.066406 1783438673.7333
MEM 110.070312 1783438673.8337
MEM 110.070312 1783438673.9340
MEM 110.074219 1783438674.0344
MEM 110.074219 1783438674.1348
MEM 110.074219 1783438674.2352
MEM 110.074219 1783438674.3355
MEM 110.078125 1783438674.4358
MEM 110.082031 1783438674.5362
MEM 110.082031 1783438674.6365
MEM 110.089844 1783438674.7369
MEM 110.089844 1783438674.8373
MEM 110.093750 1783438674.9376
MEM 110.101562 1783438675.0380
MEM 110.101562 1783438675.1383
MEM 110.105469 1783438675.2387
MEM 110.113281 1783438675.3391
MEM 110.117188 1783438675.4395
MEM 110.117188 1783438675.5398
MEM 110.121094 1783438675.6402
MEM 110.128906 1783438675.7406
MEM 110.128906 1783438675.8409
MEM 110.132812 1783438675.9413
MEM 110.136719 1783438676.0416
MEM 110.136719 1783438676.1420
MEM 110.144531 1783438676.2423
MEM 110.144531 1783438676.3427
MEM 110.156250 1783438676.4431
MEM 110.160156 1783438676.5435
MEM 110.160156 1783438676.6439
MEM 110.160156 1783438676.7443
MEM 110.167969 1783438676.8446
MEM 110.167969 1783438676.9450
MEM 110.175781 1783438677.0454
MEM 110.179688 1783438677.1457
MEM 110.183594 1783438677.2461
MEM 110.187500 1783438677.3465
MEM 110.187500 1783438677.4468
MEM 110.191406 1783438677.5472
MEM 110.195312 1783438677.6476
MEM 110.199219 1783438677.7480
MEM 110.199219 1783438677.8483
MEM 110.207031 1783438677.9487
MEM 110.210938 1783438678.0490
MEM 110.214844 1783438678.1493
MEM 110.214844 1783438678.2496
MEM 110.218750 1783438678.3500
MEM 110.222656 1783438678.4503
MEM 110.230469 1783438678.5506
MEM 110.234375 1783438678.6510
MEM 110.234375 1783438678.7513
MEM 110.234375 1783438678.8517
MEM 110.234375 1783438678.9520
MEM 110.234375 1783438679.0523
MEM 110.234375 1783438679.1526
MEM 110.234375 1783438679.2530
MEM 110.234375 1783438679.3533
MEM 110.234375 1783438679.4537
MEM 110.234375 1783438679.5541
MEM 110.234375 1783438679.6545
MEM 110.234375 1783438679.7548
MEM 110.234375 1783438679.8552
MEM 110.234375 1783438679.9555
MEM 110.234375 1783438680.0559
MEM 110.234375 1783438680.1563
MEM 110.234375 1783438680.2566
MEM 110.234375 1783438680.3569
MEM 110.234375 1783438680.4572
MEM 110.234375 1783438680.5575
MEM 110.234375 1783438680.6578
MEM 110.234375 1783438680.7581
MEM 110.238281 1783438680.8584
MEM 110.242188 1783438680.9587
MEM 110.242188 1783438681.0591
MEM 110.246094 1783438681.1594
MEM 110.246094 1783438681.2597
MEM 110.246094 1783438681.3600
MEM 110.246094 1783438681.4604
MEM 110.246094 1783438681.5607
MEM 110.246094 1783438681.6610
MEM 110.250000 1783438681.7614
MEM 110.250000 1783438681.8617
MEM 110.253906 1783438681.9620
MEM 110.257812 1783438682.0624
MEM 110.257812 1783438682.1627
MEM 110.257812 1783438682.2630
MEM 110.257812 1783438682.3633
MEM 110.257812 1783438682.4636
MEM 110.257812 1783438682.5640
MEM 110.257812 1783438682.6643
MEM 110.257812 1783438682.7646
MEM 110.257812 1783438682.8649
MEM 110.257812 1783438682.9652
MEM 110.257812 1783438683.0656
MEM 110.257812 1783438683.1659
MEM 110.257812 1783438683.2662
MEM 110.257812 1783438683.3666
MEM 110.257812 1783438683.4669
MEM 110.257812 1783438683.5673
MEM 110.257812 1783438683.6676
MEM 110.261719 1783438683.7679
MEM 110.265625 1783438683.8683
MEM 110.265625 1783438683.9686
MEM 110.265625 1783438684.0689
MEM 110.265625 1783438684.1693
MEM 110.269531 1783438684.2696
MEM 110.273438 1783438684.3699
MEM 110.277344 1783438684.4703
MEM 110.281250 1783438684.5706
MEM 110.285156 1783438684.6709
MEM 110.289062 1783438684.7713
MEM 110.289062 1783438684.8716
MEM 110.292969 1783438684.9719
MEM 110.296875 1783438685.0723
MEM 110.300781 1783438685.1726
MEM 110.304688 1783438685.2729
MEM 110.308594 1783438685.3733
MEM 110.308594 1783438685.4736
MEM 110.316406 1783438685.5740
MEM 110.316406 1783438685.6743
MEM 110.320312 1783438685.7746
MEM 110.324219 1783438685.8750
MEM 110.328125 1783438685.9753
MEM 110.332031 1783438686.0757
MEM 110.335938 1783438686.1760
MEM 110.335938 1783438686.2764
MEM 110.339844 1783438686.3767
MEM 110.343750 1783438686.4771
MEM 110.351562 1783438686.5775
MEM 110.355469 1783438686.6778
MEM 110.355469 1783438686.7783
MEM 110.359375 1783438686.8786
MEM 110.359375 1783438686.9789
MEM 110.363281 1783438687.0793
MEM 110.367188 1783438687.1796
MEM 110.367188 1783438687.2800
MEM 110.367188 1783438687.3803
MEM 110.367188 1783438687.4807
MEM 110.367188 1783438687.5811
MEM 110.367188 1783438687.6814
MEM 110.367188 1783438687.7817
MEM 110.367188 1783438687.8821
MEM 110.367188 1783438687.9825
MEM 110.367188 1783438688.0828
MEM 110.367188 1783438688.1832
MEM 110.367188 1783438688.2835
MEM 110.367188 1783438688.3838
MEM 110.367188 1783438688.4842
MEM 110.367188 1783438688.5845
MEM 110.367188 1783438688.6848
MEM 110.367188 1783438688.7851
MEM 110.367188 1783438688.8854
MEM 110.367188 1783438688.9858
MEM 110.367188 1783438689.0861
MEM 110.367188 1783438689.1865
MEM 110.367188 1783438689.2868
MEM 110.367188 1783438689.3872
MEM 110.367188 1783438689.4875
