CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_heterodimerization_small.py
MEM 0.496094 1783693899.3964
MEM 28.605469 1783693899.4967
MEM 46.078125 1783693899.5974
MEM 54.890625 1783693899.6977
MEM 59.496094 1783693899.7980
MEM 76.652344 1783693899.8982
MEM 78.687500 1783693899.9985
MEM 87.679688 1783693900.0988
MEM 88.187500 1783693900.1991
MEM 90.613281 1783693900.2994
MEM 96.960938 1783693900.3996
MEM 97.714844 1783693900.4999
MEM 97.816406 1783693900.6002
MEM 97.816406 1783693900.7005
MEM 97.816406 1783693900.8008
MEM 97.820312 1783693900.9011
MEM 97.820312 1783693901.0015
MEM 97.820312 1783693901.1018
MEM 97.820312 1783693901.2021
MEM 97.820312 1783693901.3024
MEM 98.441406 1783693901.4027
MEM 104.242188 1783693901.5032
MEM 107.015625 1783693901.6035
MEM 111.175781 1783693901.7038
MEM 115.210938 1783693901.8041
MEM 115.996094 1783693901.9045
MEM 116.363281 1783693902.0048
MEM 116.460938 1783693902.1051
MEM 115.496094 1783693902.2054
MEM 111.613281 1783693902.3057
