CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_heterodimerization_small.py
MEM 0.257812 1783696739.4160
MEM 27.625000 1783696739.5163
MEM 42.960938 1783696739.6166
MEM 58.929688 1783696739.7169
MEM 75.210938 1783696739.8171
MEM 90.875000 1783696739.9174
MEM 97.843750 1783696740.0176
MEM 98.109375 1783696740.1179
MEM 98.246094 1783696740.2182
MEM 102.707031 1783696740.3185
MEM 106.996094 1783696740.4187
MEM 111.089844 1783696740.5190
MEM 112.593750 1783696740.6193
MEM 115.589844 1783696740.7197
MEM 116.218750 1783696740.8201
MEM 116.343750 1783696740.9205
MEM 116.566406 1783696741.0207
MEM 116.617188 1783696741.1211
MEM 115.929688 1783696741.2216
