CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_uni_bi_small.py
MEM 0.328125 1783692803.5711
MEM 28.480469 1783692803.6714
MEM 47.238281 1783692803.7729
MEM 66.277344 1783692803.8732
MEM 81.472656 1783692803.9735
MEM 92.566406 1783692804.0737
MEM 98.675781 1783692804.1740
MEM 103.507812 1783692804.2743
MEM 104.316406 1783692804.3746
MEM 107.371094 1783692804.4749
MEM 107.371094 1783692804.5752
MEM 107.445312 1783692804.6755
MEM 107.523438 1783692804.7759
MEM 107.699219 1783692804.8762
MEM 109.101562 1783692804.9765
MEM 110.015625 1783692805.0768
MEM 110.015625 1783692805.1771
MEM 110.015625 1783692805.2774
MEM 110.015625 1783692805.3778
MEM 110.015625 1783692805.4781
MEM 110.015625 1783692805.5784
MEM 110.015625 1783692805.6788
MEM 110.015625 1783692805.7791
MEM 110.015625 1783692805.8795
MEM 110.015625 1783692805.9798
MEM 110.015625 1783692806.0801
MEM 110.015625 1783692806.1804
MEM 110.015625 1783692806.2808
MEM 110.015625 1783692806.3811
MEM 110.015625 1783692806.4814
MEM 110.015625 1783692806.5817
MEM 110.015625 1783692806.6820
MEM 110.015625 1783692806.7823
MEM 110.015625 1783692806.8826
MEM 110.015625 1783692806.9830
MEM 110.015625 1783692807.0833
MEM 110.015625 1783692807.1836
MEM 110.015625 1783692807.2839
MEM 110.015625 1783692807.3843
MEM 110.015625 1783692807.4846
MEM 110.015625 1783692807.5849
MEM 110.015625 1783692807.6852
MEM 110.015625 1783692807.7855
MEM 110.015625 1783692807.8859
MEM 110.015625 1783692807.9862
MEM 110.015625 1783692808.0866
MEM 110.015625 1783692808.1869
MEM 110.015625 1783692808.2872
MEM 110.015625 1783692808.3876
MEM 110.015625 1783692808.4880
MEM 110.015625 1783692808.5883
MEM 110.015625 1783692808.6886
MEM 110.015625 1783692808.7890
MEM 110.015625 1783692808.8893
MEM 110.015625 1783692808.9896
MEM 110.015625 1783692809.0900
MEM 110.015625 1783692809.1903
MEM 110.015625 1783692809.2906
MEM 110.015625 1783692809.3909
MEM 110.015625 1783692809.4912
MEM 110.015625 1783692809.5915
MEM 110.015625 1783692809.6919
MEM 110.015625 1783692809.7922
MEM 110.015625 1783692809.8925
MEM 110.015625 1783692809.9929
MEM 110.015625 1783692810.0932
MEM 110.015625 1783692810.1935
MEM 110.015625 1783692810.2939
MEM 110.015625 1783692810.3942
MEM 110.015625 1783692810.4945
MEM 110.015625 1783692810.5949
MEM 110.015625 1783692810.6952
MEM 110.015625 1783692810.7955
MEM 110.015625 1783692810.8959
MEM 110.015625 1783692810.9962
MEM 110.015625 1783692811.0966
MEM 110.015625 1783692811.1969
MEM 110.015625 1783692811.2972
MEM 110.015625 1783692811.3974
MEM 110.015625 1783692811.4976
MEM 110.015625 1783692811.5979
MEM 110.015625 1783692811.6982
MEM 110.015625 1783692811.7985
MEM 110.015625 1783692811.8988
MEM 110.015625 1783692811.9991
MEM 110.015625 1783692812.0995
MEM 110.015625 1783692812.1998
MEM 110.015625 1783692812.3001
MEM 110.015625 1783692812.4005
MEM 110.015625 1783692812.5009
MEM 110.015625 1783692812.6011
MEM 110.015625 1783692812.7015
MEM 110.015625 1783692812.8018
MEM 110.015625 1783692812.9020
MEM 110.015625 1783692813.0023
MEM 110.015625 1783692813.1026
