CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_uni_bi_small.py
MEM 0.480469 1783698604.3868
MEM 33.878906 1783698604.4871
MEM 50.812500 1783698604.5872
MEM 68.351562 1783698604.6875
MEM 87.027344 1783698604.7878
MEM 94.597656 1783698604.8881
MEM 100.703125 1783698604.9884
MEM 103.992188 1783698605.0888
MEM 106.898438 1783698605.1890
MEM 107.472656 1783698605.2893
MEM 107.585938 1783698605.3897
MEM 107.675781 1783698605.4899
MEM 107.914062 1783698605.5903
MEM 109.710938 1783698605.6907
MEM 110.304688 1783698605.7911
MEM 110.308594 1783698605.8915
MEM 110.308594 1783698605.9918
MEM 110.312500 1783698606.0921
MEM 110.312500 1783698606.1924
MEM 110.312500 1783698606.2928
MEM 110.312500 1783698606.3931
MEM 110.312500 1783698606.4933
MEM 110.320312 1783698606.5937
MEM 110.320312 1783698606.6940
MEM 110.324219 1783698606.7944
MEM 110.328125 1783698606.8947
MEM 110.328125 1783698606.9950
MEM 110.328125 1783698607.0953
MEM 110.328125 1783698607.1956
MEM 110.328125 1783698607.2960
MEM 110.332031 1783698607.3964
MEM 110.335938 1783698607.4967
MEM 110.335938 1783698607.5970
MEM 110.339844 1783698607.6973
MEM 110.347656 1783698607.7976
MEM 110.351562 1783698607.8979
MEM 110.355469 1783698607.9983
MEM 110.359375 1783698608.0986
MEM 110.363281 1783698608.1989
MEM 110.367188 1783698608.2992
MEM 110.367188 1783698608.3994
MEM 110.371094 1783698608.4998
MEM 110.375000 1783698608.6001
MEM 110.382812 1783698608.7004
MEM 110.382812 1783698608.8007
MEM 110.386719 1783698608.9010
MEM 110.390625 1783698609.0014
MEM 110.394531 1783698609.1017
MEM 110.406250 1783698609.2020
MEM 110.410156 1783698609.3024
MEM 110.414062 1783698609.4027
MEM 110.414062 1783698609.5032
MEM 110.417969 1783698609.6037
MEM 110.421875 1783698609.7040
MEM 110.425781 1783698609.8044
MEM 110.429688 1783698609.9047
MEM 110.437500 1783698610.0050
MEM 110.441406 1783698610.1053
MEM 110.445312 1783698610.2056
MEM 110.449219 1783698610.3059
MEM 110.449219 1783698610.4062
MEM 110.453125 1783698610.5067
MEM 110.457031 1783698610.6071
MEM 110.460938 1783698610.7074
MEM 110.464844 1783698610.8078
MEM 110.464844 1783698610.9081
MEM 110.464844 1783698611.0083
MEM 110.464844 1783698611.1087
MEM 110.464844 1783698611.2090
MEM 110.464844 1783698611.3092
MEM 110.464844 1783698611.4096
MEM 110.464844 1783698611.5099
MEM 110.464844 1783698611.6102
MEM 110.464844 1783698611.7106
MEM 110.464844 1783698611.8109
MEM 110.464844 1783698611.9113
MEM 110.464844 1783698612.0116
MEM 110.464844 1783698612.1119
MEM 110.464844 1783698612.2122
MEM 110.464844 1783698612.3125
MEM 110.464844 1783698612.4128
MEM 110.464844 1783698612.5132
MEM 110.464844 1783698612.6134
MEM 110.464844 1783698612.7138
MEM 110.464844 1783698612.8142
MEM 110.464844 1783698612.9145
MEM 110.464844 1783698613.0148
MEM 110.464844 1783698613.1150
MEM 110.468750 1783698613.2154
MEM 110.468750 1783698613.3159
MEM 110.472656 1783698613.4162
MEM 110.472656 1783698613.5165
MEM 110.539062 1783698613.6168
MEM 110.539062 1783698613.7171
MEM 110.542969 1783698613.8174
MEM 110.542969 1783698613.9178
MEM 110.542969 1783698614.0181
MEM 110.542969 1783698614.1184
MEM 110.542969 1783698614.2187
MEM 110.542969 1783698614.3190
MEM 110.542969 1783698614.4193
MEM 110.542969 1783698614.5197
MEM 110.542969 1783698614.6200
MEM 110.542969 1783698614.7203
MEM 110.542969 1783698614.8207
MEM 110.542969 1783698614.9210
MEM 110.542969 1783698615.0213
MEM 110.542969 1783698615.1216
MEM 110.542969 1783698615.2219
MEM 110.542969 1783698615.3222
MEM 110.542969 1783698615.4225
MEM 110.542969 1783698615.5228
MEM 110.542969 1783698615.6231
MEM 110.542969 1783698615.7234
MEM 110.542969 1783698615.8238
MEM 110.542969 1783698615.9241
MEM 110.542969 1783698616.0244
MEM 110.542969 1783698616.1248
MEM 110.542969 1783698616.2250
MEM 110.546875 1783698616.3253
MEM 110.550781 1783698616.4256
MEM 110.554688 1783698616.5259
MEM 110.554688 1783698616.6262
MEM 110.554688 1783698616.7265
MEM 110.554688 1783698616.8268
MEM 110.554688 1783698616.9272
MEM 110.554688 1783698617.0274
MEM 110.554688 1783698617.1277
MEM 110.554688 1783698617.2280
MEM 110.554688 1783698617.3284
MEM 110.554688 1783698617.4287
MEM 110.554688 1783698617.5290
MEM 110.554688 1783698617.6293
MEM 110.554688 1783698617.7296
MEM 110.554688 1783698617.8299
MEM 110.554688 1783698617.9303
MEM 110.554688 1783698618.0306
MEM 110.554688 1783698618.1309
MEM 110.554688 1783698618.2313
MEM 110.554688 1783698618.3318
MEM 110.554688 1783698618.4320
MEM 110.554688 1783698618.5323
MEM 110.554688 1783698618.6326
MEM 110.554688 1783698618.7329
MEM 110.554688 1783698618.8332
MEM 110.554688 1783698618.9334
MEM 110.554688 1783698619.0338
MEM 110.554688 1783698619.1340
MEM 110.554688 1783698619.2343
MEM 110.554688 1783698619.3346
MEM 110.554688 1783698619.4349
MEM 110.554688 1783698619.5352
MEM 110.554688 1783698619.6355
MEM 110.554688 1783698619.7358
MEM 110.554688 1783698619.8361
MEM 110.554688 1783698619.9364
MEM 110.554688 1783698620.0367
MEM 110.554688 1783698620.1370
MEM 110.554688 1783698620.2373
MEM 110.554688 1783698620.3376
