CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_uni_bi_small.py
MEM 0.328125 1783700970.3451
MEM 28.007812 1783700970.4453
MEM 48.085938 1783700970.5480
MEM 67.472656 1783700970.6482
MEM 83.757812 1783700970.7485
MEM 92.882812 1783700970.8487
MEM 99.589844 1783700970.9490
MEM 103.496094 1783700971.0493
MEM 104.449219 1783700971.1496
MEM 107.121094 1783700971.2498
MEM 107.160156 1783700971.3501
MEM 107.246094 1783700971.4503
MEM 107.402344 1783700971.5505
MEM 107.832031 1783700971.6507
MEM 109.398438 1783700971.7510
MEM 110.058594 1783700971.8512
MEM 110.066406 1783700971.9514
MEM 110.066406 1783700972.0516
MEM 110.066406 1783700972.1519
MEM 110.066406 1783700972.2521
MEM 110.066406 1783700972.3524
MEM 110.066406 1783700972.4526
MEM 110.066406 1783700972.5528
MEM 110.066406 1783700972.6530
MEM 110.070312 1783700972.7532
MEM 110.070312 1783700972.8535
MEM 110.070312 1783700972.9537
MEM 110.070312 1783700973.0540
MEM 110.074219 1783700973.1542
MEM 110.078125 1783700973.2544
MEM 110.078125 1783700973.3546
MEM 110.082031 1783700973.4549
MEM 110.085938 1783700973.5551
MEM 110.085938 1783700973.6553
MEM 110.089844 1783700973.7556
MEM 110.093750 1783700973.8558
MEM 110.097656 1783700973.9560
MEM 110.101562 1783700974.0562
MEM 110.105469 1783700974.1565
MEM 110.105469 1783700974.2567
MEM 110.109375 1783700974.3569
MEM 110.113281 1783700974.4572
MEM 110.117188 1783700974.5574
MEM 110.117188 1783700974.6576
MEM 110.121094 1783700974.7579
MEM 110.121094 1783700974.8581
MEM 110.128906 1783700974.9583
MEM 110.132812 1783700975.0585
MEM 110.136719 1783700975.1588
MEM 110.136719 1783700975.2590
MEM 110.140625 1783700975.3592
MEM 110.148438 1783700975.4595
MEM 110.148438 1783700975.5597
MEM 110.152344 1783700975.6599
MEM 110.156250 1783700975.7602
MEM 110.156250 1783700975.8604
MEM 110.160156 1783700975.9606
MEM 110.160156 1783700976.0609
MEM 110.164062 1783700976.1611
MEM 110.171875 1783700976.2613
MEM 110.175781 1783700976.3616
MEM 110.179688 1783700976.4618
MEM 110.179688 1783700976.5620
MEM 110.183594 1783700976.6623
MEM 110.187500 1783700976.7625
MEM 110.191406 1783700976.8627
MEM 110.195312 1783700976.9630
MEM 110.199219 1783700977.0632
MEM 110.199219 1783700977.1634
MEM 110.203125 1783700977.2637
MEM 110.207031 1783700977.3639
MEM 110.207031 1783700977.4641
MEM 110.214844 1783700977.5644
MEM 110.214844 1783700977.6646
MEM 110.218750 1783700977.7648
MEM 110.222656 1783700977.8650
MEM 110.226562 1783700977.9653
MEM 110.226562 1783700978.0656
MEM 110.226562 1783700978.1658
MEM 110.226562 1783700978.2660
MEM 110.226562 1783700978.3663
MEM 110.226562 1783700978.4665
MEM 110.226562 1783700978.5667
MEM 110.226562 1783700978.6670
MEM 110.226562 1783700978.7672
MEM 110.226562 1783700978.8674
MEM 110.226562 1783700978.9676
MEM 110.226562 1783700979.0679
MEM 110.226562 1783700979.1681
MEM 110.292969 1783700979.2684
MEM 110.292969 1783700979.3686
MEM 110.292969 1783700979.4689
MEM 110.292969 1783700979.5691
MEM 110.292969 1783700979.6693
MEM 110.292969 1783700979.7695
MEM 110.292969 1783700979.8698
MEM 110.292969 1783700979.9700
MEM 110.292969 1783700980.0702
MEM 110.292969 1783700980.1704
MEM 110.292969 1783700980.2707
MEM 110.296875 1783700980.3709
MEM 110.296875 1783700980.4711
MEM 110.300781 1783700980.5714
MEM 110.304688 1783700980.6716
MEM 110.304688 1783700980.7719
MEM 110.304688 1783700980.8721
MEM 110.304688 1783700980.9723
MEM 110.304688 1783700981.0725
MEM 110.304688 1783700981.1728
MEM 110.304688 1783700981.2730
MEM 110.308594 1783700981.3732
MEM 110.312500 1783700981.4734
MEM 110.312500 1783700981.5736
MEM 110.316406 1783700981.6739
MEM 110.320312 1783700981.7741
MEM 110.324219 1783700981.8743
MEM 110.324219 1783700981.9746
MEM 110.328125 1783700982.0748
MEM 110.332031 1783700982.1750
MEM 110.335938 1783700982.2752
MEM 110.339844 1783700982.3755
MEM 110.343750 1783700982.4757
MEM 110.343750 1783700982.5760
MEM 110.347656 1783700982.6762
MEM 110.347656 1783700982.7764
MEM 110.347656 1783700982.8766
MEM 110.347656 1783700982.9768
MEM 110.347656 1783700983.0771
MEM 110.347656 1783700983.1773
MEM 110.347656 1783700983.2775
MEM 110.351562 1783700983.3777
MEM 110.351562 1783700983.4780
MEM 110.355469 1783700983.5782
MEM 110.359375 1783700983.6784
MEM 110.359375 1783700983.7786
MEM 110.359375 1783700983.8789
MEM 110.359375 1783700983.9791
MEM 110.359375 1783700984.0793
MEM 110.359375 1783700984.1795
MEM 110.359375 1783700984.2798
MEM 110.359375 1783700984.3800
MEM 110.359375 1783700984.4802
MEM 110.359375 1783700984.5804
MEM 110.359375 1783700984.6807
MEM 110.359375 1783700984.7809
MEM 110.359375 1783700984.8811
MEM 110.359375 1783700984.9813
MEM 110.359375 1783700985.0815
MEM 110.359375 1783700985.1817
MEM 110.359375 1783700985.2820
MEM 110.359375 1783700985.3822
MEM 110.359375 1783700985.4824
MEM 110.359375 1783700985.5826
MEM 110.359375 1783700985.6829
MEM 110.359375 1783700985.7831
MEM 110.359375 1783700985.8834
MEM 110.359375 1783700985.9836
MEM 110.359375 1783700986.0837
MEM 110.359375 1783700986.1840
MEM 110.359375 1783700986.2842
MEM 110.359375 1783700986.3844
MEM 110.359375 1783700986.4846
MEM 110.359375 1783700986.5849
MEM 110.359375 1783700986.6851
MEM 110.359375 1783700986.7853
MEM 110.359375 1783700986.8856
MEM 110.359375 1783700986.9858
MEM 110.359375 1783700987.0860
MEM 110.359375 1783700987.1862
MEM 110.359375 1783700987.2864
MEM 110.359375 1783700987.3867
MEM 110.359375 1783700987.4869
MEM 110.359375 1783700987.5871
MEM 110.359375 1783700987.6874
MEM 110.359375 1783700987.7876
MEM 110.359375 1783700987.8878
MEM 110.359375 1783700987.9880
MEM 110.359375 1783700988.0883
MEM 110.359375 1783700988.1885
MEM 110.359375 1783700988.2887
MEM 110.359375 1783700988.3890
MEM 110.359375 1783700988.4892
MEM 110.359375 1783700988.5894
MEM 110.359375 1783700988.6896
MEM 110.359375 1783700988.7899
MEM 110.359375 1783700988.8901
MEM 110.359375 1783700988.9903
MEM 110.359375 1783700989.0905
MEM 110.359375 1783700989.1907
MEM 110.359375 1783700989.2909
MEM 110.359375 1783700989.3911
MEM 110.359375 1783700989.4914
MEM 110.359375 1783700989.5916
MEM 110.359375 1783700989.6918
MEM 110.359375 1783700989.7921
MEM 110.359375 1783700989.8923
MEM 110.359375 1783700989.9925
MEM 110.359375 1783700990.0928
MEM 110.363281 1783700990.1930
MEM 110.363281 1783700990.2932
