CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_heterodimerization_small.py
MEM 0.261719 1783790547.7843
MEM 26.304688 1783790547.8847
MEM 39.625000 1783790547.9849
MEM 54.296875 1783790548.0874
MEM 60.855469 1783790548.1876
MEM 76.785156 1783790548.2879
MEM 87.582031 1783790548.3881
MEM 96.476562 1783790548.4884
MEM 97.148438 1783790548.5886
MEM 97.285156 1783790548.6888
MEM 97.292969 1783790548.7891
MEM 97.843750 1783790548.8893
MEM 102.359375 1783790548.9895
MEM 106.285156 1783790549.0898
MEM 110.167969 1783790549.1900
MEM 111.183594 1783790549.2903
MEM 114.593750 1783790549.3905
MEM 115.058594 1783790549.4907
MEM 115.445312 1783790549.5910
MEM 115.531250 1783790549.6913
MEM 115.570312 1783790549.7916
MEM 0.000000 1783790549.8919
