CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_heterodimerization_small.py
MEM 0.328125 1783743305.4584
MEM 26.406250 1783743305.5588
MEM 41.417969 1783743305.6612
MEM 54.449219 1783743305.7615
MEM 63.207031 1783743305.8618
MEM 76.859375 1783743305.9620
MEM 87.300781 1783743306.0623
MEM 92.386719 1783743306.1625
MEM 96.601562 1783743306.2628
MEM 97.332031 1783743306.3631
MEM 97.425781 1783743306.4634
MEM 97.433594 1783743306.5637
MEM 97.433594 1783743306.6641
MEM 97.433594 1783743306.7644
MEM 97.433594 1783743306.8647
MEM 97.433594 1783743306.9651
MEM 97.433594 1783743307.0654
MEM 97.433594 1783743307.1657
MEM 97.433594 1783743307.2660
MEM 97.433594 1783743307.3664
MEM 97.433594 1783743307.4667
MEM 97.554688 1783743307.5669
MEM 100.839844 1783743307.6672
MEM 105.164062 1783743307.7675
MEM 109.554688 1783743307.8678
MEM 111.039062 1783743307.9682
MEM 113.714844 1783743308.0685
MEM 115.457031 1783743308.1688
MEM 115.691406 1783743308.2692
MEM 115.785156 1783743308.3695
MEM 115.894531 1783743308.4698
MEM 115.937500 1783743308.5702
MEM 114.968750 1783743308.6705
