CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_uni_bi_small.py
MEM 0.453125 1783743334.1679
MEM 25.652344 1783743334.2682
MEM 46.785156 1783743334.3685
MEM 65.847656 1783743334.4688
MEM 80.128906 1783743334.5691
MEM 91.539062 1783743334.6694
MEM 98.085938 1783743334.7696
MEM 101.500000 1783743334.8699
MEM 103.902344 1783743334.9702
MEM 105.281250 1783743335.0705
MEM 107.382812 1783743335.1708
MEM 107.421875 1783743335.2711
MEM 107.503906 1783743335.3714
MEM 107.648438 1783743335.4716
MEM 108.226562 1783743335.5719
MEM 109.105469 1783743335.6722
MEM 109.703125 1783743335.7725
MEM 109.710938 1783743335.8728
MEM 109.714844 1783743335.9731
MEM 109.714844 1783743336.0735
MEM 109.714844 1783743336.1737
MEM 109.714844 1783743336.2741
MEM 109.714844 1783743336.3744
MEM 109.714844 1783743336.4747
MEM 109.714844 1783743336.5752
MEM 109.718750 1783743336.6755
MEM 109.722656 1783743336.7758
MEM 109.722656 1783743336.8762
MEM 109.730469 1783743336.9765
MEM 109.734375 1783743337.0768
MEM 109.738281 1783743337.1771
MEM 109.742188 1783743337.2774
MEM 109.742188 1783743337.3777
MEM 109.742188 1783743337.4781
MEM 109.746094 1783743337.5784
MEM 109.750000 1783743337.6787
MEM 109.753906 1783743337.7791
MEM 109.757812 1783743337.8794
MEM 109.761719 1783743337.9797
MEM 109.765625 1783743338.0801
MEM 109.769531 1783743338.1804
MEM 109.773438 1783743338.2808
MEM 109.773438 1783743338.3811
MEM 109.777344 1783743338.4815
MEM 109.781250 1783743338.5818
MEM 109.785156 1783743338.6822
MEM 109.789062 1783743338.7825
MEM 109.792969 1783743338.8828
MEM 109.792969 1783743338.9831
MEM 109.796875 1783743339.0835
MEM 109.800781 1783743339.1838
MEM 109.804688 1783743339.2842
MEM 109.808594 1783743339.3845
MEM 109.808594 1783743339.4848
MEM 109.812500 1783743339.5852
MEM 109.816406 1783743339.6855
MEM 109.820312 1783743339.7859
MEM 109.820312 1783743339.8862
MEM 109.820312 1783743339.9865
MEM 109.824219 1783743340.0868
MEM 109.828125 1783743340.1872
MEM 109.832031 1783743340.2876
MEM 109.832031 1783743340.3879
MEM 109.832031 1783743340.4882
MEM 109.832031 1783743340.5886
MEM 109.832031 1783743340.6889
MEM 109.832031 1783743340.7892
MEM 109.832031 1783743340.8896
MEM 109.832031 1783743340.9899
MEM 109.832031 1783743341.0902
MEM 109.832031 1783743341.1906
MEM 109.832031 1783743341.2909
MEM 109.832031 1783743341.3912
MEM 109.832031 1783743341.4916
MEM 109.832031 1783743341.5919
MEM 109.832031 1783743341.6922
MEM 109.832031 1783743341.7925
MEM 109.832031 1783743341.8929
MEM 109.832031 1783743341.9932
MEM 109.832031 1783743342.0935
MEM 109.832031 1783743342.1938
MEM 109.832031 1783743342.2942
MEM 109.832031 1783743342.3945
MEM 109.832031 1783743342.4948
MEM 109.832031 1783743342.5951
MEM 109.832031 1783743342.6954
MEM 109.832031 1783743342.7957
MEM 109.835938 1783743342.8961
MEM 109.839844 1783743342.9964
MEM 109.843750 1783743343.0967
MEM 109.843750 1783743343.1971
MEM 109.843750 1783743343.2974
MEM 109.843750 1783743343.3977
MEM 109.843750 1783743343.4981
MEM 109.843750 1783743343.5985
MEM 109.843750 1783743343.6988
MEM 109.843750 1783743343.7992
MEM 109.843750 1783743343.8995
MEM 109.843750 1783743343.9998
MEM 109.843750 1783743344.1002
MEM 109.843750 1783743344.2005
MEM 109.843750 1783743344.3008
MEM 109.863281 1783743344.4012
MEM 109.867188 1783743344.5015
MEM 109.871094 1783743344.6018
MEM 109.871094 1783743344.7022
MEM 109.871094 1783743344.8025
MEM 109.871094 1783743344.9028
MEM 109.871094 1783743345.0031
MEM 109.871094 1783743345.1034
MEM 109.871094 1783743345.2037
MEM 109.871094 1783743345.3041
MEM 109.871094 1783743345.4044
MEM 109.871094 1783743345.5047
MEM 109.871094 1783743345.6051
MEM 109.871094 1783743345.7054
MEM 109.871094 1783743345.8057
MEM 109.871094 1783743345.9061
MEM 109.871094 1783743346.0064
MEM 109.871094 1783743346.1067
MEM 109.871094 1783743346.2071
MEM 109.871094 1783743346.3074
MEM 109.871094 1783743346.4077
MEM 109.871094 1783743346.5082
MEM 109.871094 1783743346.6085
MEM 109.871094 1783743346.7088
MEM 109.871094 1783743346.8092
MEM 109.871094 1783743346.9095
MEM 109.871094 1783743347.0098
MEM 109.871094 1783743347.1102
MEM 109.871094 1783743347.2105
MEM 109.871094 1783743347.3108
MEM 109.871094 1783743347.4112
MEM 109.871094 1783743347.5115
MEM 109.871094 1783743347.6118
MEM 109.871094 1783743347.7122
MEM 109.871094 1783743347.8125
MEM 109.871094 1783743347.9129
MEM 109.871094 1783743348.0132
MEM 109.871094 1783743348.1135
MEM 109.871094 1783743348.2138
MEM 109.871094 1783743348.3142
MEM 109.871094 1783743348.4145
MEM 109.871094 1783743348.5148
MEM 109.871094 1783743348.6152
MEM 109.871094 1783743348.7155
MEM 109.871094 1783743348.8159
MEM 109.871094 1783743348.9162
MEM 109.871094 1783743349.0166
MEM 109.871094 1783743349.1169
MEM 109.871094 1783743349.2172
MEM 109.871094 1783743349.3175
MEM 109.871094 1783743349.4178
MEM 109.871094 1783743349.5182
MEM 109.871094 1783743349.6186
MEM 109.871094 1783743349.7189
MEM 109.871094 1783743349.8192
MEM 109.871094 1783743349.9196
MEM 109.878906 1783743350.0199
MEM 109.878906 1783743350.1202
MEM 109.878906 1783743350.2206
MEM 109.929688 1783743350.3209
MEM 109.929688 1783743350.4212
MEM 109.929688 1783743350.5215
MEM 109.929688 1783743350.6219
MEM 109.929688 1783743350.7222
MEM 109.929688 1783743350.8225
MEM 109.929688 1783743350.9229
MEM 109.929688 1783743351.0232
MEM 109.929688 1783743351.1235
MEM 109.953125 1783743351.2239
MEM 109.953125 1783743351.3242
MEM 109.953125 1783743351.4245
MEM 109.953125 1783743351.5249
MEM 109.953125 1783743351.6252
MEM 109.953125 1783743351.7255
MEM 109.953125 1783743351.8259
MEM 109.953125 1783743351.9262
MEM 109.953125 1783743352.0266
MEM 109.953125 1783743352.1269
MEM 109.953125 1783743352.2272
MEM 109.957031 1783743352.3276
MEM 109.960938 1783743352.4279
MEM 109.960938 1783743352.5282
MEM 109.964844 1783743352.6286
MEM 109.968750 1783743352.7289
MEM 109.972656 1783743352.8292
MEM 109.972656 1783743352.9295
MEM 109.976562 1783743353.0298
MEM 109.980469 1783743353.1301
MEM 109.984375 1783743353.2305
MEM 109.988281 1783743353.3308
MEM 109.988281 1783743353.4311
MEM 109.992188 1783743353.5314
MEM 109.996094 1783743353.6318
MEM 110.000000 1783743353.7322
MEM 110.003906 1783743353.8325
MEM 108.074219 1783743353.9328
