CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_heterodimerization_small.py
MEM 0.492188 1783784216.8061
MEM 27.207031 1783784216.9064
MEM 42.847656 1783784217.0067
MEM 56.542969 1783784217.1069
MEM 70.691406 1783784217.2072
MEM 85.406250 1783784217.3075
MEM 97.015625 1783784217.4077
MEM 97.007812 1783784217.5080
MEM 97.730469 1783784217.6083
MEM 97.828125 1783784217.7086
MEM 97.832031 1783784217.8090
MEM 97.835938 1783784217.9093
MEM 97.835938 1783784218.0096
MEM 97.835938 1783784218.1099
MEM 97.835938 1783784218.2106
MEM 97.835938 1783784218.3110
MEM 97.835938 1783784218.4113
MEM 97.835938 1783784218.5118
MEM 97.835938 1783784218.6120
MEM 97.835938 1783784218.7123
MEM 97.835938 1783784218.8127
MEM 98.468750 1783784218.9130
MEM 104.808594 1783784219.0134
MEM 108.152344 1783784219.1136
MEM 111.203125 1783784219.2140
MEM 114.363281 1783784219.3145
MEM 115.917969 1783784219.4148
MEM 116.300781 1783784219.5152
MEM 116.394531 1783784219.6156
MEM 116.476562 1783784219.7160
MEM 114.507812 1783784219.8164
