CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_heterodimerization_small.py
MEM 0.265625 1783954399.2269
MEM 28.871094 1783954399.3271
MEM 46.996094 1783954399.4277
MEM 53.210938 1783954399.5278
MEM 64.882812 1783954399.6281
MEM 79.175781 1783954399.7283
MEM 87.914062 1783954399.8286
MEM 90.820312 1783954399.9289
MEM 90.832031 1783954400.0291
MEM 90.832031 1783954400.1294
MEM 96.300781 1783954400.2297
MEM 97.230469 1783954400.3299
MEM 97.238281 1783954400.4302
MEM 97.996094 1783954400.5304
MEM 98.085938 1783954400.6309
MEM 98.085938 1783954400.7311
MEM 100.433594 1783954400.8314
MEM 105.992188 1783954400.9317
MEM 110.542969 1783954401.0319
MEM 112.515625 1783954401.1321
MEM 116.050781 1783954401.2324
MEM 116.378906 1783954401.3327
MEM 116.507812 1783954401.4329
MEM 116.589844 1783954401.5333
