CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_uni_bi_small.py
MEM 0.261719 1783951394.5257
MEM 25.617188 1783951394.6260
MEM 47.871094 1783951394.7263
MEM 66.996094 1783951394.8266
MEM 81.570312 1783951394.9269
MEM 92.781250 1783951395.0272
MEM 98.945312 1783951395.1275
MEM 103.710938 1783951395.2278
MEM 104.484375 1783951395.3281
MEM 107.332031 1783951395.4284
MEM 107.390625 1783951395.5288
MEM 107.539062 1783951395.6291
MEM 108.046875 1783951395.7295
MEM 109.664062 1783951395.8298
MEM 109.671875 1783951395.9301
MEM 109.675781 1783951396.0305
MEM 109.675781 1783951396.1308
MEM 109.675781 1783951396.2312
MEM 109.675781 1783951396.3315
MEM 109.675781 1783951396.4318
MEM 109.675781 1783951396.5322
MEM 109.679688 1783951396.6325
MEM 109.683594 1783951396.7328
MEM 109.683594 1783951396.8332
MEM 109.683594 1783951396.9335
MEM 109.683594 1783951397.0338
MEM 109.691406 1783951397.1341
MEM 109.695312 1783951397.2345
MEM 109.707031 1783951397.3348
MEM 109.710938 1783951397.4351
MEM 109.710938 1783951397.5355
MEM 109.710938 1783951397.6358
MEM 109.718750 1783951397.7361
MEM 109.718750 1783951397.8364
MEM 109.722656 1783951397.9368
MEM 109.734375 1783951398.0371
MEM 109.742188 1783951398.1375
MEM 109.742188 1783951398.2378
MEM 109.742188 1783951398.3381
MEM 109.750000 1783951398.4385
MEM 109.750000 1783951398.5388
MEM 109.757812 1783951398.6391
MEM 109.761719 1783951398.7395
MEM 109.804688 1783951398.8398
MEM 109.808594 1783951398.9402
MEM 109.812500 1783951399.0405
MEM 109.816406 1783951399.1408
MEM 109.820312 1783951399.2411
MEM 109.824219 1783951399.3414
MEM 109.828125 1783951399.4418
MEM 109.832031 1783951399.5422
MEM 109.839844 1783951399.6426
MEM 109.839844 1783951399.7429
MEM 109.843750 1783951399.8432
MEM 109.851562 1783951399.9436
MEM 109.851562 1783951400.0439
MEM 109.851562 1783951400.1443
MEM 109.851562 1783951400.2446
MEM 109.855469 1783951400.3450
MEM 109.855469 1783951400.4453
MEM 109.855469 1783951400.5456
MEM 109.855469 1783951400.6460
MEM 109.855469 1783951400.7463
MEM 109.855469 1783951400.8467
MEM 109.855469 1783951400.9470
MEM 109.855469 1783951401.0473
MEM 109.855469 1783951401.1477
MEM 109.855469 1783951401.2480
MEM 109.855469 1783951401.3484
MEM 109.855469 1783951401.4487
MEM 109.855469 1783951401.5491
MEM 109.859375 1783951401.6494
MEM 109.863281 1783951401.7498
MEM 109.863281 1783951401.8501
MEM 109.863281 1783951401.9505
MEM 109.863281 1783951402.0508
MEM 109.867188 1783951402.1512
MEM 109.867188 1783951402.2515
MEM 109.867188 1783951402.3518
MEM 109.867188 1783951402.4521
MEM 109.875000 1783951402.5525
MEM 109.898438 1783951402.6528
MEM 109.898438 1783951402.7531
MEM 109.898438 1783951402.8535
MEM 109.902344 1783951402.9538
MEM 109.910156 1783951403.0542
MEM 109.914062 1783951403.1545
MEM 109.914062 1783951403.2549
MEM 109.914062 1783951403.3552
MEM 109.914062 1783951403.4555
MEM 109.914062 1783951403.5559
MEM 109.914062 1783951403.6562
MEM 109.917969 1783951403.7566
MEM 109.917969 1783951403.8569
MEM 109.917969 1783951403.9573
MEM 109.917969 1783951404.0576
MEM 109.917969 1783951404.1580
MEM 109.917969 1783951404.2583
MEM 109.921875 1783951404.3587
MEM 109.925781 1783951404.4590
MEM 109.925781 1783951404.5594
MEM 109.929688 1783951404.6598
MEM 109.929688 1783951404.7601
MEM 109.929688 1783951404.8605
MEM 109.929688 1783951404.9608
MEM 109.929688 1783951405.0612
MEM 109.929688 1783951405.1615
MEM 109.929688 1783951405.2618
MEM 110.027344 1783951405.3622
MEM 110.027344 1783951405.4625
MEM 110.027344 1783951405.5628
MEM 110.027344 1783951405.6631
MEM 110.027344 1783951405.7635
MEM 110.027344 1783951405.8638
MEM 110.027344 1783951405.9641
MEM 110.027344 1783951406.0644
MEM 110.027344 1783951406.1648
MEM 110.027344 1783951406.2652
MEM 110.027344 1783951406.3655
MEM 110.050781 1783951406.4658
MEM 110.050781 1783951406.5662
MEM 110.050781 1783951406.6664
MEM 110.050781 1783951406.7668
MEM 110.050781 1783951406.8671
MEM 110.050781 1783951406.9675
MEM 110.050781 1783951407.0678
MEM 110.050781 1783951407.1681
MEM 110.050781 1783951407.2685
MEM 110.050781 1783951407.3688
MEM 110.050781 1783951407.4692
MEM 110.050781 1783951407.5695
MEM 110.050781 1783951407.6698
MEM 110.050781 1783951407.7702
MEM 110.050781 1783951407.8705
MEM 110.050781 1783951407.9708
MEM 110.050781 1783951408.0712
MEM 110.050781 1783951408.1715
MEM 110.050781 1783951408.2719
MEM 110.050781 1783951408.3722
MEM 110.050781 1783951408.4726
MEM 110.050781 1783951408.5729
MEM 110.050781 1783951408.6733
MEM 108.101562 1783951408.7737
