CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_heterodimerization_small.py
MEM 0.265625 1784126683.0880
MEM 26.546875 1784126683.1882
MEM 41.566406 1784126683.2885
MEM 55.000000 1784126683.3888
MEM 70.410156 1784126683.4891
MEM 85.117188 1784126683.5894
MEM 96.671875 1784126683.6897
MEM 97.445312 1784126683.7900
MEM 97.554688 1784126683.8902
MEM 97.992188 1784126683.9905
MEM 102.507812 1784126684.0908
MEM 106.464844 1784126684.1911
MEM 110.343750 1784126684.2915
MEM 111.746094 1784126684.3918
MEM 115.054688 1784126684.4922
MEM 115.570312 1784126684.5926
MEM 115.933594 1784126684.6929
MEM 116.003906 1784126684.7932
MEM 116.054688 1784126684.8936
MEM 114.085938 1784126684.9940
