CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_uni_bi_small.py
MEM 0.261719 1784128088.5042
MEM 27.957031 1784128088.6044
MEM 47.375000 1784128088.7048
MEM 67.136719 1784128088.8051
MEM 82.675781 1784128088.9053
MEM 92.878906 1784128089.0056
MEM 99.042969 1784128089.1059
MEM 103.781250 1784128089.2061
MEM 104.503906 1784128089.3064
MEM 107.109375 1784128089.4067
MEM 107.148438 1784128089.5069
MEM 107.359375 1784128089.6072
MEM 107.824219 1784128089.7074
MEM 109.605469 1784128089.8077
MEM 109.613281 1784128089.9079
MEM 109.613281 1784128090.0081
MEM 109.613281 1784128090.1084
MEM 109.613281 1784128090.2086
MEM 109.613281 1784128090.3089
MEM 109.613281 1784128090.4091
MEM 109.613281 1784128090.5093
MEM 109.613281 1784128090.6096
MEM 109.613281 1784128090.7098
MEM 109.621094 1784128090.8100
MEM 109.625000 1784128090.9103
MEM 109.625000 1784128091.0106
MEM 109.625000 1784128091.1110
MEM 109.625000 1784128091.2112
MEM 109.625000 1784128091.3115
MEM 109.625000 1784128091.4117
MEM 109.625000 1784128091.5120
MEM 109.628906 1784128091.6122
MEM 109.628906 1784128091.7124
MEM 109.632812 1784128091.8127
MEM 109.636719 1784128091.9129
MEM 109.640625 1784128092.0131
MEM 109.644531 1784128092.1134
MEM 109.648438 1784128092.2136
MEM 109.656250 1784128092.3139
MEM 109.660156 1784128092.4142
MEM 109.664062 1784128092.5144
MEM 109.667969 1784128092.6147
MEM 109.671875 1784128092.7149
MEM 109.675781 1784128092.8151
MEM 109.679688 1784128092.9153
MEM 109.679688 1784128093.0155
MEM 109.691406 1784128093.1157
MEM 109.691406 1784128093.2160
MEM 109.695312 1784128093.3162
MEM 109.703125 1784128093.4164
MEM 109.707031 1784128093.5167
MEM 109.707031 1784128093.6169
MEM 109.714844 1784128093.7171
MEM 109.718750 1784128093.8174
MEM 109.722656 1784128093.9176
MEM 109.722656 1784128094.0179
MEM 109.722656 1784128094.1182
MEM 109.722656 1784128094.2184
MEM 109.722656 1784128094.3187
MEM 109.722656 1784128094.4189
MEM 109.722656 1784128094.5191
MEM 109.722656 1784128094.6194
MEM 109.722656 1784128094.7196
MEM 109.722656 1784128094.8199
MEM 109.726562 1784128094.9201
MEM 109.730469 1784128095.0203
MEM 109.734375 1784128095.1206
MEM 109.734375 1784128095.2208
MEM 109.734375 1784128095.3210
MEM 109.734375 1784128095.4213
MEM 109.734375 1784128095.5215
MEM 109.734375 1784128095.6218
MEM 109.734375 1784128095.7220
MEM 109.734375 1784128095.8222
MEM 109.734375 1784128095.9225
MEM 109.734375 1784128096.0227
MEM 109.734375 1784128096.1230
MEM 109.734375 1784128096.2232
MEM 109.734375 1784128096.3234
MEM 109.734375 1784128096.4237
MEM 109.734375 1784128096.5239
MEM 109.734375 1784128096.6241
MEM 109.734375 1784128096.7244
MEM 109.734375 1784128096.8246
MEM 109.734375 1784128096.9248
MEM 109.734375 1784128097.0250
MEM 109.734375 1784128097.1253
MEM 109.734375 1784128097.2255
MEM 109.734375 1784128097.3258
MEM 109.734375 1784128097.4260
MEM 109.734375 1784128097.5262
MEM 109.734375 1784128097.6264
MEM 109.734375 1784128097.7267
MEM 109.734375 1784128097.8269
MEM 109.734375 1784128097.9271
MEM 109.734375 1784128098.0274
MEM 109.734375 1784128098.1276
MEM 109.734375 1784128098.2278
MEM 109.734375 1784128098.3280
MEM 109.734375 1784128098.4282
MEM 109.734375 1784128098.5285
MEM 109.734375 1784128098.6287
MEM 109.734375 1784128098.7290
MEM 109.734375 1784128098.8292
MEM 109.734375 1784128098.9295
MEM 109.734375 1784128099.0298
MEM 109.734375 1784128099.1300
MEM 109.734375 1784128099.2302
MEM 109.734375 1784128099.3304
MEM 109.734375 1784128099.4307
MEM 109.734375 1784128099.5309
MEM 109.742188 1784128099.6311
MEM 109.742188 1784128099.7313
MEM 109.746094 1784128099.8316
MEM 109.750000 1784128099.9318
MEM 109.753906 1784128100.0320
MEM 109.757812 1784128100.1322
MEM 109.757812 1784128100.2324
MEM 109.765625 1784128100.3327
MEM 109.773438 1784128100.4329
MEM 109.773438 1784128100.5331
MEM 109.777344 1784128100.6333
MEM 109.785156 1784128100.7336
MEM 109.789062 1784128100.8338
MEM 109.792969 1784128100.9340
MEM 109.796875 1784128101.0342
MEM 109.800781 1784128101.1344
MEM 109.804688 1784128101.2347
MEM 109.808594 1784128101.3349
MEM 109.812500 1784128101.4351
MEM 109.816406 1784128101.5354
MEM 109.816406 1784128101.6357
MEM 109.824219 1784128101.7359
MEM 109.824219 1784128101.8362
MEM 109.832031 1784128101.9365
MEM 109.835938 1784128102.0367
MEM 109.839844 1784128102.1369
MEM 109.843750 1784128102.2372
MEM 109.847656 1784128102.3374
MEM 109.851562 1784128102.4376
MEM 109.855469 1784128102.5379
MEM 109.859375 1784128102.6382
MEM 109.863281 1784128102.7384
MEM 109.871094 1784128102.8386
MEM 109.875000 1784128102.9389
MEM 109.878906 1784128103.0391
MEM 109.882812 1784128103.1393
MEM 109.886719 1784128103.2395
MEM 109.890625 1784128103.3398
MEM 109.894531 1784128103.4400
MEM 109.898438 1784128103.5402
MEM 109.902344 1784128103.6404
MEM 109.906250 1784128103.7407
MEM 108.925781 1784128103.8411
