CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_uni_bi_small.py
MEM 0.332031 1784215451.4226
MEM 26.113281 1784215451.5229
MEM 46.996094 1784215451.6237
MEM 66.078125 1784215451.7240
MEM 81.410156 1784215451.8242
MEM 92.699219 1784215451.9245
MEM 98.773438 1784215452.0248
MEM 103.296875 1784215452.1251
MEM 104.265625 1784215452.2254
MEM 107.007812 1784215452.3258
MEM 107.066406 1784215452.4261
MEM 107.191406 1784215452.5264
MEM 107.558594 1784215452.6267
MEM 109.535156 1784215452.7270
MEM 109.535156 1784215452.8274
MEM 109.535156 1784215452.9277
MEM 109.535156 1784215453.0280
MEM 109.535156 1784215453.1284
MEM 109.535156 1784215453.2287
MEM 109.535156 1784215453.3291
MEM 109.535156 1784215453.4294
MEM 109.535156 1784215453.5297
MEM 109.542969 1784215453.6300
MEM 109.542969 1784215453.7303
MEM 109.546875 1784215453.8307
MEM 109.550781 1784215453.9310
MEM 109.558594 1784215454.0313
MEM 109.562500 1784215454.1317
MEM 109.566406 1784215454.2321
MEM 109.570312 1784215454.3324
MEM 109.570312 1784215454.4328
MEM 109.570312 1784215454.5331
MEM 109.574219 1784215454.6335
MEM 109.585938 1784215454.7338
MEM 109.589844 1784215454.8342
MEM 109.593750 1784215454.9346
MEM 109.597656 1784215455.0349
MEM 109.601562 1784215455.1352
MEM 109.605469 1784215455.2356
MEM 109.609375 1784215455.3360
MEM 109.613281 1784215455.4363
MEM 109.617188 1784215455.5366
MEM 109.621094 1784215455.6370
MEM 109.625000 1784215455.7373
MEM 109.628906 1784215455.8377
MEM 109.632812 1784215455.9380
MEM 109.632812 1784215456.0383
MEM 109.636719 1784215456.1387
MEM 109.640625 1784215456.2391
MEM 109.652344 1784215456.3394
MEM 109.652344 1784215456.4398
MEM 109.660156 1784215456.5402
MEM 109.664062 1784215456.6406
MEM 109.667969 1784215456.7409
MEM 109.667969 1784215456.8412
MEM 109.671875 1784215456.9416
MEM 109.675781 1784215457.0419
MEM 109.683594 1784215457.1423
MEM 109.691406 1784215457.2427
MEM 109.695312 1784215457.3430
MEM 109.699219 1784215457.4434
MEM 109.699219 1784215457.5438
MEM 109.699219 1784215457.6441
MEM 109.699219 1784215457.7445
MEM 109.703125 1784215457.8448
MEM 109.714844 1784215457.9452
MEM 109.718750 1784215458.0455
MEM 109.722656 1784215458.1458
MEM 109.722656 1784215458.2462
MEM 109.722656 1784215458.3465
MEM 109.722656 1784215458.4469
MEM 109.722656 1784215458.5473
MEM 109.722656 1784215458.6476
MEM 109.722656 1784215458.7480
MEM 109.722656 1784215458.8483
MEM 109.726562 1784215458.9487
MEM 109.726562 1784215459.0491
MEM 109.726562 1784215459.1494
MEM 109.726562 1784215459.2498
MEM 109.726562 1784215459.3501
MEM 109.726562 1784215459.4505
MEM 109.726562 1784215459.5508
MEM 109.726562 1784215459.6512
MEM 109.726562 1784215459.7516
MEM 109.726562 1784215459.8519
MEM 109.726562 1784215459.9523
MEM 109.726562 1784215460.0527
MEM 109.726562 1784215460.1530
MEM 109.726562 1784215460.2534
MEM 109.726562 1784215460.3538
MEM 109.726562 1784215460.4541
MEM 109.726562 1784215460.5545
MEM 109.726562 1784215460.6548
MEM 109.726562 1784215460.7552
MEM 109.726562 1784215460.8555
MEM 109.726562 1784215460.9559
MEM 109.726562 1784215461.0563
MEM 109.726562 1784215461.1567
MEM 109.726562 1784215461.2570
MEM 109.726562 1784215461.3574
MEM 109.726562 1784215461.4578
MEM 109.726562 1784215461.5582
MEM 109.726562 1784215461.6586
MEM 109.726562 1784215461.7589
MEM 109.726562 1784215461.8593
MEM 109.726562 1784215461.9597
MEM 109.726562 1784215462.0601
MEM 109.726562 1784215462.1604
MEM 109.726562 1784215462.2608
MEM 109.726562 1784215462.3611
MEM 109.726562 1784215462.4616
MEM 109.726562 1784215462.5619
MEM 109.726562 1784215462.6623
MEM 109.726562 1784215462.7626
MEM 109.726562 1784215462.8630
MEM 109.726562 1784215462.9633
MEM 109.726562 1784215463.0638
MEM 109.726562 1784215463.1641
MEM 109.726562 1784215463.2645
MEM 109.726562 1784215463.3648
MEM 109.726562 1784215463.4652
MEM 109.726562 1784215463.5656
MEM 109.730469 1784215463.6660
MEM 109.734375 1784215463.7663
MEM 109.734375 1784215463.8667
MEM 109.738281 1784215463.9671
MEM 109.742188 1784215464.0675
MEM 109.746094 1784215464.1678
MEM 109.750000 1784215464.2682
MEM 109.753906 1784215464.3686
MEM 109.757812 1784215464.4689
MEM 109.761719 1784215464.5693
MEM 109.765625 1784215464.6697
MEM 109.769531 1784215464.7701
MEM 109.773438 1784215464.8705
MEM 109.777344 1784215464.9708
MEM 109.781250 1784215465.0712
MEM 109.785156 1784215465.1715
MEM 109.789062 1784215465.2719
MEM 109.792969 1784215465.3723
MEM 109.796875 1784215465.4727
MEM 109.800781 1784215465.5730
MEM 109.855469 1784215465.6734
MEM 109.859375 1784215465.7738
MEM 109.863281 1784215465.8741
MEM 109.871094 1784215465.9745
MEM 109.875000 1784215466.0748
MEM 109.882812 1784215466.1752
MEM 109.882812 1784215466.2756
MEM 109.894531 1784215466.3759
MEM 109.894531 1784215466.4763
MEM 109.898438 1784215466.5767
MEM 109.902344 1784215466.6770
MEM 109.910156 1784215466.7774
MEM 109.914062 1784215466.8778
MEM 109.917969 1784215466.9782
MEM 108.937500 1784215467.0786
