CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_uni_bi_small.py
MEM 0.265625 1784559165.7600
MEM 26.941406 1784559165.8604
MEM 48.210938 1784559165.9607
MEM 67.621094 1784559166.0610
MEM 83.160156 1784559166.1613
MEM 92.847656 1784559166.2616
MEM 99.195312 1784559166.3619
MEM 103.726562 1784559166.4622
MEM 104.476562 1784559166.5626
MEM 107.054688 1784559166.6629
MEM 107.179688 1784559166.7632
MEM 107.371094 1784559166.8636
MEM 108.472656 1784559166.9639
MEM 109.796875 1784559167.0642
MEM 109.800781 1784559167.1645
MEM 109.800781 1784559167.2649
MEM 109.804688 1784559167.3652
MEM 109.804688 1784559167.4656
MEM 109.804688 1784559167.5660
MEM 109.804688 1784559167.6663
MEM 109.804688 1784559167.7666
MEM 109.804688 1784559167.8669
MEM 109.812500 1784559167.9673
MEM 109.812500 1784559168.0676
MEM 109.816406 1784559168.1679
MEM 109.820312 1784559168.2683
MEM 109.820312 1784559168.3688
MEM 109.824219 1784559168.4691
MEM 109.832031 1784559168.5694
MEM 109.835938 1784559168.6697
MEM 109.839844 1784559168.7700
MEM 109.843750 1784559168.8704
MEM 109.847656 1784559168.9708
MEM 109.851562 1784559169.0711
MEM 109.855469 1784559169.1715
MEM 109.863281 1784559169.2718
MEM 109.867188 1784559169.3722
MEM 109.871094 1784559169.4725
MEM 109.875000 1784559169.5729
MEM 109.878906 1784559169.6731
MEM 109.878906 1784559169.7735
MEM 109.882812 1784559169.8738
MEM 109.894531 1784559169.9742
MEM 109.898438 1784559170.0745
MEM 109.902344 1784559170.1749
MEM 109.906250 1784559170.2752
MEM 109.910156 1784559170.3756
MEM 109.914062 1784559170.4759
MEM 109.914062 1784559170.5762
MEM 109.921875 1784559170.6766
MEM 109.925781 1784559170.7769
MEM 109.933594 1784559170.8773
MEM 109.937500 1784559170.9777
MEM 109.937500 1784559171.0780
MEM 109.937500 1784559171.1784
MEM 109.937500 1784559171.2787
MEM 109.937500 1784559171.3791
MEM 109.937500 1784559171.4794
MEM 109.937500 1784559171.5798
MEM 109.937500 1784559171.6801
MEM 109.937500 1784559171.7804
MEM 109.941406 1784559171.8808
MEM 109.945312 1784559171.9812
MEM 109.945312 1784559172.0815
MEM 109.945312 1784559172.1818
MEM 109.945312 1784559172.2822
MEM 109.945312 1784559172.3826
MEM 109.945312 1784559172.4829
MEM 109.945312 1784559172.5833
MEM 109.945312 1784559172.6836
MEM 109.945312 1784559172.7840
MEM 109.945312 1784559172.8843
MEM 109.945312 1784559172.9847
MEM 109.945312 1784559173.0850
MEM 109.945312 1784559173.1854
MEM 109.945312 1784559173.2857
MEM 109.945312 1784559173.3861
MEM 109.945312 1784559173.4864
MEM 109.945312 1784559173.5867
MEM 109.945312 1784559173.6871
MEM 109.945312 1784559173.7874
MEM 109.945312 1784559173.8878
MEM 109.945312 1784559173.9881
MEM 109.945312 1784559174.0885
MEM 109.945312 1784559174.1888
MEM 109.945312 1784559174.2892
MEM 109.945312 1784559174.3895
MEM 109.945312 1784559174.4898
MEM 109.945312 1784559174.5901
MEM 109.945312 1784559174.6905
MEM 109.945312 1784559174.7908
MEM 109.945312 1784559174.8911
MEM 109.945312 1784559174.9915
MEM 109.945312 1784559175.0918
MEM 109.945312 1784559175.1921
MEM 109.945312 1784559175.2924
MEM 109.945312 1784559175.3927
MEM 109.945312 1784559175.4930
MEM 109.945312 1784559175.5934
MEM 109.945312 1784559175.6937
MEM 109.945312 1784559175.7940
MEM 109.945312 1784559175.8943
MEM 109.949219 1784559175.9946
MEM 109.953125 1784559176.0949
MEM 109.957031 1784559176.1953
MEM 109.960938 1784559176.2956
MEM 109.964844 1784559176.3959
MEM 109.972656 1784559176.4962
MEM 109.972656 1784559176.5965
MEM 109.980469 1784559176.6968
MEM 109.984375 1784559176.7972
MEM 109.988281 1784559176.8975
MEM 109.992188 1784559176.9978
MEM 109.996094 1784559177.0981
MEM 110.003906 1784559177.1985
MEM 110.007812 1784559177.2988
MEM 110.011719 1784559177.3991
MEM 110.015625 1784559177.4995
MEM 110.019531 1784559177.5998
MEM 110.023438 1784559177.7001
MEM 110.031250 1784559177.8004
MEM 110.035156 1784559177.9007
MEM 110.039062 1784559178.0010
MEM 110.042969 1784559178.1013
MEM 110.046875 1784559178.2017
MEM 110.050781 1784559178.3020
MEM 110.054688 1784559178.4023
MEM 110.058594 1784559178.5026
MEM 110.062500 1784559178.6029
MEM 110.066406 1784559178.7032
MEM 110.074219 1784559178.8035
MEM 110.078125 1784559178.9039
MEM 110.082031 1784559179.0042
MEM 110.082031 1784559179.1045
MEM 110.082031 1784559179.2048
MEM 110.082031 1784559179.3051
MEM 110.082031 1784559179.4055
MEM 110.085938 1784559179.5058
MEM 110.089844 1784559179.6061
MEM 110.097656 1784559179.7064
MEM 110.101562 1784559179.8067
MEM 110.105469 1784559179.9070
MEM 110.109375 1784559180.0073
MEM 110.113281 1784559180.1076
MEM 0.000000 1784559180.2080
