CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_heterodimerization_small.py
MEM 0.453125 1784663596.8962
MEM 25.957031 1784663596.9966
MEM 34.558594 1784663597.0969
MEM 54.277344 1784663597.1980
MEM 60.726562 1784663597.2983
MEM 75.789062 1784663597.3986
MEM 87.273438 1784663597.4990
MEM 90.386719 1784663597.5993
MEM 97.113281 1784663597.6996
MEM 97.550781 1784663597.7999
MEM 97.644531 1784663597.9002
MEM 97.644531 1784663598.0005
MEM 100.371094 1784663598.1008
MEM 105.250000 1784663598.2011
MEM 107.535156 1784663598.3014
MEM 110.902344 1784663598.4018
MEM 113.703125 1784663598.5021
MEM 115.621094 1784663598.6025
MEM 115.976562 1784663598.7029
MEM 116.066406 1784663598.8032
MEM 116.285156 1784663598.9036
MEM 114.511719 1784663599.0039
