CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_heterodimerization_small.py
MEM 0.261719 1784662285.7113
MEM 26.785156 1784662285.8116
MEM 42.136719 1784662285.9118
MEM 54.695312 1784662286.0120
MEM 65.855469 1784662286.1123
MEM 78.605469 1784662286.2126
MEM 88.117188 1784662286.3128
MEM 96.953125 1784662286.4131
MEM 96.953125 1784662286.5133
MEM 97.636719 1784662286.6135
MEM 97.796875 1784662286.7138
MEM 97.800781 1784662286.8141
MEM 97.800781 1784662286.9143
MEM 97.800781 1784662287.0146
MEM 97.800781 1784662287.1148
MEM 97.800781 1784662287.2150
MEM 97.800781 1784662287.3153
MEM 97.800781 1784662287.4155
MEM 97.800781 1784662287.5157
MEM 98.457031 1784662287.6160
MEM 103.992188 1784662287.7162
MEM 106.925781 1784662287.8165
MEM 110.722656 1784662287.9168
MEM 112.140625 1784662288.0171
MEM 115.046875 1784662288.1173
MEM 115.441406 1784662288.2176
MEM 115.597656 1784662288.3179
MEM 115.679688 1784662288.4181
MEM 115.765625 1784662288.5184
MEM 112.199219 1784662288.6187
