CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_heterodimerization_small.py
MEM 0.265625 1784731904.4130
MEM 26.105469 1784731904.5132
MEM 36.402344 1784731904.6135
MEM 50.105469 1784731904.7138
MEM 64.625000 1784731904.8141
MEM 77.296875 1784731904.9144
MEM 87.734375 1784731905.0148
MEM 90.699219 1784731905.1150
MEM 97.093750 1784731905.2153
MEM 97.847656 1784731905.3156
MEM 97.941406 1784731905.4159
MEM 98.570312 1784731905.5162
MEM 102.855469 1784731905.6165
MEM 106.761719 1784731905.7169
MEM 110.730469 1784731905.8172
MEM 111.851562 1784731905.9176
MEM 115.359375 1784731906.0180
MEM 115.960938 1784731906.1183
MEM 116.390625 1784731906.2187
MEM 116.515625 1784731906.3190
MEM 116.562500 1784731906.4194
MEM 114.562500 1784731906.5198
