CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_ktam.py
MEM 0.261719 1784731043.7338
MEM 26.894531 1784731043.8341
MEM 47.421875 1784731043.9343
MEM 66.906250 1784731044.0345
MEM 81.808594 1784731044.1349
MEM 92.687500 1784731044.2351
MEM 98.839844 1784731044.3353
MEM 103.554688 1784731044.4356
MEM 104.296875 1784731044.5359
MEM 105.277344 1784731044.6361
MEM 105.308594 1784731044.7364
MEM 105.308594 1784731044.8366
MEM 105.308594 1784731044.9369
MEM 105.308594 1784731045.0371
MEM 105.308594 1784731045.1373
MEM 105.308594 1784731045.2375
MEM 105.308594 1784731045.3378
MEM 105.308594 1784731045.4380
MEM 105.308594 1784731045.5383
MEM 105.308594 1784731045.6385
MEM 105.312500 1784731045.7388
MEM 105.320312 1784731045.8390
MEM 105.339844 1784731045.9393
MEM 105.339844 1784731046.0395
MEM 105.343750 1784731046.1398
MEM 105.343750 1784731046.2400
MEM 105.347656 1784731046.3402
MEM 105.347656 1784731046.4405
MEM 105.351562 1784731046.5407
MEM 105.351562 1784731046.6409
MEM 105.355469 1784731046.7412
MEM 105.359375 1784731046.8414
MEM 105.359375 1784731046.9416
MEM 105.363281 1784731047.0419
MEM 105.363281 1784731047.1421
MEM 105.363281 1784731047.2424
MEM 105.375000 1784731047.3426
MEM 105.382812 1784731047.4429
MEM 105.390625 1784731047.5431
MEM 105.402344 1784731047.6433
MEM 105.414062 1784731047.7436
MEM 105.421875 1784731047.8438
MEM 105.429688 1784731047.9441
MEM 105.445312 1784731048.0443
MEM 105.457031 1784731048.1446
MEM 105.464844 1784731048.2449
MEM 105.472656 1784731048.3451
MEM 105.480469 1784731048.4453
MEM 105.496094 1784731048.5456
MEM 105.507812 1784731048.6459
MEM 105.519531 1784731048.7461
MEM 105.527344 1784731048.8463
MEM 105.539062 1784731048.9466
MEM 105.550781 1784731049.0468
MEM 105.558594 1784731049.1470
MEM 105.574219 1784731049.2473
MEM 105.582031 1784731049.3475
MEM 105.589844 1784731049.4478
MEM 105.601562 1784731049.5480
MEM 105.613281 1784731049.6482
MEM 105.621094 1784731049.7485
MEM 105.632812 1784731049.8487
MEM 105.644531 1784731049.9489
MEM 105.652344 1784731050.0492
MEM 105.667969 1784731050.1494
MEM 105.675781 1784731050.2496
MEM 105.687500 1784731050.3499
MEM 105.695312 1784731050.4501
MEM 105.710938 1784731050.5504
MEM 105.718750 1784731050.6506
MEM 105.726562 1784731050.7508
MEM 105.742188 1784731050.8511
MEM 105.753906 1784731050.9513
MEM 105.761719 1784731051.0515
MEM 105.777344 1784731051.1518
MEM 105.785156 1784731051.2520
MEM 105.796875 1784731051.3523
MEM 105.804688 1784731051.4525
MEM 102.207031 1784731051.5529
