CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_heterodimerization_small.py
MEM 0.261719 1785162114.4169
MEM 26.640625 1785162114.5172
MEM 42.066406 1785162114.6184
MEM 54.406250 1785162114.7187
MEM 60.050781 1785162114.8189
MEM 75.925781 1785162114.9192
MEM 87.957031 1785162115.0194
MEM 96.765625 1785162115.1197
MEM 97.476562 1785162115.2200
MEM 97.621094 1785162115.3202
MEM 98.050781 1785162115.4204
MEM 102.136719 1785162115.5207
MEM 105.878906 1785162115.6210
MEM 110.191406 1785162115.7213
MEM 111.390625 1785162115.8216
MEM 115.019531 1785162115.9219
MEM 115.574219 1785162116.0222
MEM 115.917969 1785162116.1225
MEM 115.988281 1785162116.2228
MEM 116.070312 1785162116.3231
MEM 112.164062 1785162116.4234
