CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_heterodimerization_small.py
MEM 0.250000 1785514660.4531
MEM 26.585938 1785514660.5534
MEM 42.046875 1785514660.6544
MEM 54.375000 1785514660.7546
MEM 61.441406 1785514660.8549
MEM 77.078125 1785514660.9552
MEM 90.496094 1785514661.0555
MEM 96.964844 1785514661.1557
MEM 97.722656 1785514661.2560
MEM 97.804688 1785514661.3562
MEM 98.289062 1785514661.4565
MEM 102.738281 1785514661.5567
MEM 106.695312 1785514661.6570
MEM 110.593750 1785514661.7573
MEM 111.875000 1785514661.8575
MEM 115.019531 1785514661.9578
MEM 115.617188 1785514662.0580
MEM 115.933594 1785514662.1583
MEM 115.976562 1785514662.2585
MEM 116.023438 1785514662.3588
MEM 112.070312 1785514662.4592
