CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_uni_bi_small.py
MEM 0.265625 1785854313.0605
MEM 25.589844 1785854313.1608
MEM 48.148438 1785854313.2636
MEM 67.253906 1785854313.3639
MEM 81.781250 1785854313.4642
MEM 92.746094 1785854313.5645
MEM 99.019531 1785854313.6648
MEM 103.632812 1785854313.7652
MEM 104.421875 1785854313.8655
MEM 106.992188 1785854313.9659
MEM 107.121094 1785854314.0662
MEM 107.324219 1785854314.1665
MEM 108.785156 1785854314.2668
MEM 110.210938 1785854314.3672
MEM 110.218750 1785854314.4675
MEM 110.222656 1785854314.5678
MEM 110.222656 1785854314.6681
MEM 110.226562 1785854314.7685
MEM 110.226562 1785854314.8688
MEM 110.226562 1785854314.9692
MEM 110.226562 1785854315.0695
MEM 110.226562 1785854315.1698
MEM 110.226562 1785854315.2701
MEM 110.226562 1785854315.3705
MEM 110.226562 1785854315.4708
MEM 110.226562 1785854315.5711
MEM 110.230469 1785854315.6715
MEM 110.238281 1785854315.7718
MEM 110.238281 1785854315.8721
MEM 110.246094 1785854315.9725
MEM 110.257812 1785854316.0729
MEM 110.261719 1785854316.1732
MEM 110.269531 1785854316.2736
MEM 110.273438 1785854316.3739
MEM 110.277344 1785854316.4742
MEM 110.277344 1785854316.5746
MEM 110.277344 1785854316.6749
MEM 110.281250 1785854316.7752
MEM 110.285156 1785854316.8756
MEM 110.289062 1785854316.9759
MEM 110.289062 1785854317.0762
MEM 110.296875 1785854317.1766
MEM 110.308594 1785854317.2769
MEM 110.312500 1785854317.3772
MEM 110.316406 1785854317.4776
MEM 110.328125 1785854317.5779
MEM 110.328125 1785854317.6782
MEM 110.335938 1785854317.7786
MEM 110.339844 1785854317.8789
MEM 110.339844 1785854317.9793
MEM 110.339844 1785854318.0796
MEM 110.351562 1785854318.1800
MEM 110.359375 1785854318.2803
MEM 110.359375 1785854318.3806
MEM 110.367188 1785854318.4810
MEM 110.371094 1785854318.5813
MEM 110.378906 1785854318.6816
MEM 110.378906 1785854318.7819
MEM 110.382812 1785854318.8823
MEM 110.390625 1785854318.9826
MEM 110.390625 1785854319.0829
MEM 110.390625 1785854319.1832
MEM 110.390625 1785854319.2836
MEM 110.390625 1785854319.3839
MEM 110.390625 1785854319.4842
MEM 110.390625 1785854319.5846
MEM 110.390625 1785854319.6849
MEM 110.390625 1785854319.7852
MEM 110.390625 1785854319.8856
MEM 110.394531 1785854319.9859
MEM 110.394531 1785854320.0862
MEM 110.394531 1785854320.1866
MEM 110.394531 1785854320.2869
MEM 110.394531 1785854320.3873
MEM 110.394531 1785854320.4876
MEM 110.394531 1785854320.5882
MEM 110.394531 1785854320.6885
MEM 110.394531 1785854320.7888
MEM 110.394531 1785854320.8892
MEM 110.394531 1785854320.9896
MEM 110.394531 1785854321.0900
MEM 110.394531 1785854321.1903
MEM 110.394531 1785854321.2906
MEM 110.394531 1785854321.3910
MEM 110.394531 1785854321.4913
MEM 110.394531 1785854321.5916
MEM 110.394531 1785854321.6919
MEM 110.394531 1785854321.7923
MEM 110.394531 1785854321.8926
MEM 110.394531 1785854321.9932
MEM 110.394531 1785854322.0935
MEM 110.394531 1785854322.1939
MEM 110.394531 1785854322.2943
MEM 110.394531 1785854322.3946
MEM 110.394531 1785854322.4950
MEM 110.394531 1785854322.5954
MEM 110.394531 1785854322.6957
MEM 110.394531 1785854322.7960
MEM 110.394531 1785854322.8964
MEM 110.394531 1785854322.9967
MEM 110.394531 1785854323.0971
MEM 110.394531 1785854323.1975
MEM 110.394531 1785854323.2978
MEM 110.394531 1785854323.3982
MEM 110.394531 1785854323.4986
MEM 110.394531 1785854323.5989
MEM 110.398438 1785854323.6992
MEM 110.402344 1785854323.7996
MEM 110.402344 1785854323.8999
MEM 110.406250 1785854324.0002
MEM 110.410156 1785854324.1006
MEM 110.417969 1785854324.2009
MEM 110.421875 1785854324.3012
MEM 110.425781 1785854324.4016
MEM 110.429688 1785854324.5019
MEM 110.429688 1785854324.6022
MEM 110.437500 1785854324.7027
MEM 110.441406 1785854324.8031
MEM 110.445312 1785854324.9034
MEM 110.445312 1785854325.0038
MEM 110.449219 1785854325.1042
MEM 110.457031 1785854325.2045
MEM 110.464844 1785854325.3049
MEM 110.468750 1785854325.4052
MEM 110.472656 1785854325.5056
MEM 110.476562 1785854325.6059
MEM 110.476562 1785854325.7063
MEM 110.484375 1785854325.8066
MEM 110.488281 1785854325.9070
MEM 110.492188 1785854326.0073
MEM 110.500000 1785854326.1077
MEM 110.503906 1785854326.2080
MEM 110.507812 1785854326.3084
MEM 110.511719 1785854326.4087
MEM 110.515625 1785854326.5090
MEM 110.519531 1785854326.6094
MEM 110.523438 1785854326.7097
MEM 110.527344 1785854326.8100
MEM 110.531250 1785854326.9103
MEM 110.539062 1785854327.0107
MEM 110.539062 1785854327.1110
MEM 109.554688 1785854327.2114
