CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_uni_bi_small.py
MEM 0.453125 1785854232.3353
MEM 25.359375 1785854232.4356
MEM 46.679688 1785854232.5359
MEM 65.691406 1785854232.6363
MEM 80.214844 1785854232.7366
MEM 91.539062 1785854232.8369
MEM 98.011719 1785854232.9373
MEM 102.605469 1785854233.0377
MEM 104.070312 1785854233.1380
MEM 105.996094 1785854233.2384
MEM 107.046875 1785854233.3387
MEM 107.136719 1785854233.4393
MEM 107.347656 1785854233.5397
MEM 108.410156 1785854233.6401
MEM 109.941406 1785854233.7404
MEM 109.941406 1785854233.8408
MEM 109.945312 1785854233.9412
MEM 109.945312 1785854234.0415
MEM 109.945312 1785854234.1419
MEM 109.945312 1785854234.2422
MEM 109.945312 1785854234.3425
MEM 109.945312 1785854234.4429
MEM 109.949219 1785854234.5434
MEM 109.953125 1785854234.6438
MEM 109.957031 1785854234.7443
MEM 109.957031 1785854234.8447
MEM 109.960938 1785854234.9450
MEM 109.964844 1785854235.0454
MEM 109.972656 1785854235.1457
MEM 109.976562 1785854235.2460
MEM 109.980469 1785854235.3463
MEM 109.984375 1785854235.4467
MEM 109.988281 1785854235.5471
MEM 109.988281 1785854235.6475
MEM 109.992188 1785854235.7478
MEM 109.996094 1785854235.8482
MEM 110.003906 1785854235.9486
MEM 110.007812 1785854236.0489
MEM 110.011719 1785854236.1493
MEM 110.015625 1785854236.2496
MEM 110.019531 1785854236.3500
MEM 110.019531 1785854236.4504
MEM 110.023438 1785854236.5507
MEM 110.031250 1785854236.6510
MEM 110.035156 1785854236.7514
MEM 110.039062 1785854236.8518
MEM 110.042969 1785854236.9522
MEM 110.046875 1785854237.0526
MEM 110.050781 1785854237.1530
MEM 110.050781 1785854237.2533
MEM 110.058594 1785854237.3537
MEM 110.062500 1785854237.4541
MEM 110.066406 1785854237.5545
MEM 110.070312 1785854237.6548
MEM 110.078125 1785854237.7552
MEM 110.082031 1785854237.8556
MEM 110.082031 1785854237.9560
MEM 110.085938 1785854238.0564
MEM 110.089844 1785854238.1567
MEM 110.089844 1785854238.2571
MEM 110.089844 1785854238.3575
MEM 110.089844 1785854238.4579
MEM 110.089844 1785854238.5583
MEM 110.089844 1785854238.6587
MEM 110.089844 1785854238.7590
MEM 110.089844 1785854238.8594
MEM 110.089844 1785854238.9597
MEM 110.089844 1785854239.0600
MEM 110.093750 1785854239.1604
MEM 110.093750 1785854239.2607
MEM 110.093750 1785854239.3611
MEM 110.093750 1785854239.4614
MEM 110.093750 1785854239.5618
MEM 110.093750 1785854239.6622
MEM 110.093750 1785854239.7625
MEM 110.093750 1785854239.8628
MEM 110.093750 1785854239.9633
MEM 110.093750 1785854240.0636
MEM 110.093750 1785854240.1639
MEM 110.093750 1785854240.2644
MEM 110.093750 1785854240.3647
MEM 110.093750 1785854240.4651
MEM 110.093750 1785854240.5654
MEM 110.093750 1785854240.6658
MEM 110.093750 1785854240.7661
MEM 110.093750 1785854240.8664
MEM 110.093750 1785854240.9668
MEM 110.093750 1785854241.0671
MEM 110.093750 1785854241.1675
MEM 110.093750 1785854241.2679
MEM 110.093750 1785854241.3683
MEM 110.093750 1785854241.4686
MEM 110.093750 1785854241.5690
MEM 110.093750 1785854241.6694
MEM 110.093750 1785854241.7698
MEM 110.093750 1785854241.8702
MEM 110.093750 1785854241.9705
MEM 110.093750 1785854242.0709
MEM 110.093750 1785854242.1713
MEM 110.093750 1785854242.2716
MEM 110.093750 1785854242.3720
MEM 110.093750 1785854242.4724
MEM 110.093750 1785854242.5727
MEM 110.093750 1785854242.6731
MEM 110.093750 1785854242.7735
MEM 110.093750 1785854242.8738
MEM 110.093750 1785854242.9743
MEM 110.093750 1785854243.0746
MEM 110.097656 1785854243.1749
MEM 110.101562 1785854243.2753
MEM 110.105469 1785854243.3757
MEM 110.109375 1785854243.4761
MEM 110.109375 1785854243.5764
MEM 110.117188 1785854243.6768
MEM 110.121094 1785854243.7772
MEM 110.121094 1785854243.8775
MEM 110.125000 1785854243.9779
MEM 110.132812 1785854244.0783
MEM 110.136719 1785854244.1786
MEM 110.144531 1785854244.2790
MEM 110.144531 1785854244.3794
MEM 110.152344 1785854244.4797
MEM 110.152344 1785854244.5801
MEM 110.160156 1785854244.6805
MEM 110.160156 1785854244.7808
MEM 110.167969 1785854244.8813
MEM 110.171875 1785854244.9816
MEM 110.175781 1785854245.0820
MEM 110.179688 1785854245.1824
MEM 110.183594 1785854245.2828
MEM 110.183594 1785854245.3832
MEM 110.187500 1785854245.4835
MEM 110.191406 1785854245.5839
MEM 110.199219 1785854245.6844
MEM 110.203125 1785854245.7847
MEM 110.203125 1785854245.8851
MEM 110.207031 1785854245.9856
MEM 110.210938 1785854246.0860
MEM 110.218750 1785854246.1864
MEM 110.218750 1785854246.2867
MEM 110.226562 1785854246.3871
MEM 110.230469 1785854246.4874
MEM 110.234375 1785854246.5878
MEM 110.238281 1785854246.6882
MEM 110.242188 1785854246.7886
MEM 110.246094 1785854246.8890
MEM 110.250000 1785854246.9894
MEM 110.253906 1785854247.0898
MEM 110.257812 1785854247.1902
MEM 110.257812 1785854247.2906
MEM 110.265625 1785854247.3909
MEM 110.269531 1785854247.4913
MEM 110.273438 1785854247.5917
MEM 110.277344 1785854247.6921
MEM 110.281250 1785854247.7925
MEM 110.285156 1785854247.8929
MEM 110.289062 1785854247.9933
MEM 110.292969 1785854248.0937
MEM 110.296875 1785854248.1940
MEM 110.300781 1785854248.2944
MEM 110.300781 1785854248.3948
