CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_uni_bi_small.py
MEM 0.453125 1785853944.6550
MEM 27.324219 1785853944.7553
MEM 48.253906 1785853944.8559
MEM 67.304688 1785853944.9562
MEM 83.511719 1785853945.0564
MEM 92.679688 1785853945.1567
MEM 99.082031 1785853945.2570
MEM 103.523438 1785853945.3574
MEM 104.449219 1785853945.4577
MEM 106.878906 1785853945.5581
MEM 107.011719 1785853945.6584
MEM 107.234375 1785853945.7587
MEM 108.832031 1785853945.8590
MEM 109.500000 1785853945.9593
MEM 109.500000 1785853946.0596
MEM 109.500000 1785853946.1600
MEM 109.500000 1785853946.2603
MEM 109.500000 1785853946.3606
MEM 109.500000 1785853946.4609
MEM 109.500000 1785853946.5612
MEM 109.503906 1785853946.6615
MEM 109.507812 1785853946.7618
MEM 109.511719 1785853946.8622
MEM 109.515625 1785853946.9625
MEM 109.519531 1785853947.0628
MEM 109.527344 1785853947.1631
MEM 109.527344 1785853947.2634
MEM 109.539062 1785853947.3638
MEM 109.542969 1785853947.4641
MEM 109.550781 1785853947.5644
MEM 109.554688 1785853947.6647
MEM 109.558594 1785853947.7650
MEM 109.562500 1785853947.8653
MEM 109.566406 1785853947.9656
MEM 109.570312 1785853948.0659
MEM 109.574219 1785853948.1662
MEM 109.578125 1785853948.2665
MEM 109.578125 1785853948.3669
MEM 109.585938 1785853948.4672
MEM 109.589844 1785853948.5675
MEM 109.593750 1785853948.6678
MEM 109.597656 1785853948.7681
MEM 109.601562 1785853948.8684
MEM 109.609375 1785853948.9688
MEM 109.613281 1785853949.0691
MEM 109.617188 1785853949.1694
MEM 109.625000 1785853949.2697
MEM 109.625000 1785853949.3700
MEM 109.632812 1785853949.4703
MEM 109.636719 1785853949.5707
MEM 109.640625 1785853949.6710
MEM 109.644531 1785853949.7714
MEM 109.648438 1785853949.8716
MEM 109.652344 1785853949.9719
MEM 109.652344 1785853950.0722
MEM 109.652344 1785853950.1725
MEM 109.652344 1785853950.2729
MEM 109.652344 1785853950.3732
MEM 109.652344 1785853950.4735
MEM 109.652344 1785853950.5739
MEM 109.652344 1785853950.6742
MEM 109.652344 1785853950.7745
MEM 109.652344 1785853950.8748
MEM 109.652344 1785853950.9751
MEM 109.652344 1785853951.0754
MEM 109.652344 1785853951.1758
MEM 109.652344 1785853951.2761
MEM 109.652344 1785853951.3764
MEM 109.652344 1785853951.4767
MEM 109.652344 1785853951.5770
MEM 109.652344 1785853951.6774
MEM 109.652344 1785853951.7777
MEM 109.652344 1785853951.8780
MEM 109.652344 1785853951.9783
MEM 109.652344 1785853952.0786
MEM 109.652344 1785853952.1789
MEM 109.652344 1785853952.2793
MEM 109.652344 1785853952.3796
MEM 109.652344 1785853952.4799
MEM 109.652344 1785853952.5802
MEM 109.652344 1785853952.6805
MEM 109.652344 1785853952.7808
MEM 109.652344 1785853952.8811
MEM 109.652344 1785853952.9814
MEM 109.652344 1785853953.0817
MEM 109.652344 1785853953.1822
MEM 109.652344 1785853953.2826
MEM 109.652344 1785853953.3830
MEM 109.652344 1785853953.4833
MEM 109.652344 1785853953.5836
MEM 109.652344 1785853953.6839
MEM 109.652344 1785853953.7842
MEM 109.652344 1785853953.8845
MEM 109.652344 1785853953.9849
MEM 109.652344 1785853954.0851
MEM 109.652344 1785853954.1854
MEM 109.652344 1785853954.2858
MEM 109.652344 1785853954.3861
MEM 109.652344 1785853954.4864
MEM 109.656250 1785853954.5868
MEM 109.660156 1785853954.6871
MEM 109.664062 1785853954.7874
MEM 109.667969 1785853954.8877
MEM 109.671875 1785853954.9880
MEM 109.675781 1785853955.0883
MEM 109.679688 1785853955.1886
MEM 109.683594 1785853955.2889
MEM 109.691406 1785853955.3892
MEM 109.695312 1785853955.4895
MEM 109.695312 1785853955.5899
MEM 109.699219 1785853955.6902
MEM 109.703125 1785853955.7905
MEM 109.707031 1785853955.8908
MEM 109.714844 1785853955.9911
MEM 109.718750 1785853956.0914
MEM 109.722656 1785853956.1918
MEM 109.726562 1785853956.2921
MEM 109.734375 1785853956.3924
MEM 109.742188 1785853956.4928
MEM 109.742188 1785853956.5931
MEM 109.746094 1785853956.6934
MEM 109.753906 1785853956.7937
MEM 109.757812 1785853956.8940
MEM 109.761719 1785853956.9943
MEM 109.765625 1785853957.0946
MEM 109.769531 1785853957.1950
MEM 109.773438 1785853957.2953
MEM 109.781250 1785853957.3956
MEM 109.785156 1785853957.4959
MEM 109.789062 1785853957.5962
MEM 109.792969 1785853957.6965
MEM 109.796875 1785853957.7968
MEM 109.804688 1785853957.8971
MEM 109.808594 1785853957.9974
MEM 109.812500 1785853958.0978
MEM 109.816406 1785853958.1981
MEM 109.820312 1785853958.2984
MEM 109.824219 1785853958.3988
MEM 109.828125 1785853958.4991
MEM 109.832031 1785853958.5994
MEM 109.835938 1785853958.6998
